id,timestamp,dayweek,year,month,day,steps,calories,dist_total,dist_act_high,dist_act_med,dist_act_low,dist_act_sede,mins_act_high,mins_act_med,mins_act_low,mins_act_sede
1,2016-03-25,Friday,2016,3,25,11004,1819,7.1,2.57,0.46,4.07,0.0,33,12,205,804
1,2016-03-26,Saturday,2016,3,26,17609,2154,11.56,6.92,0.73,3.91,0.0,89,17,274,588
1,2016-03-27,Sunday,2016,3,27,12736,1944,8.53,4.66,0.16,3.71,0.0,56,5,268,605
1,2016-03-28,Monday,2016,3,28,13231,1932,8.93,3.19,0.79,4.95,0.0,39,20,224,1080
1,2016-03-29,Tuesday,2016,3,29,12041,1886,7.86,2.16,1.09,4.61,0.0,28,28,243,763
1,2016-03-30,Wednesday,2016,3,30,10970,1820,7.16,2.36,0.51,4.29,0.0,30,13,223,1174
1,2016-03-31,Thursday,2016,3,31,12256,1889,7.82,2.29,0.49,5.04,0.0,33,12,239,820
1,2016-04-01,Friday,2016,4,1,12262,1868,7.79,3.32,0.83,3.64,0.0,47,21,200,866
1,2016-04-02,Saturday,2016,4,2,11248,1843,7.19,3.0,0.45,3.74,0.0,40,11,244,636
1,2016-04-03,Sunday,2016,4,3,10016,1850,6.37,0.91,1.28,4.18,0.0,15,30,314,655
1,2016-04-04,Monday,2016,4,4,14557,2030,9.78,3.39,0.7,5.69,0.0,43,18,285,757
1,2016-04-05,Tuesday,2016,4,5,14844,2083,9.74,2.94,0.76,6.04,0.0,36,18,341,736
1,2016-04-06,Wednesday,2016,4,6,11974,1861,7.67,2.04,0.48,5.15,0.0,27,12,228,1173
1,2016-04-07,Thursday,2016,4,7,10198,1755,6.44,1.2,0.79,4.45,0.0,17,20,195,1208
1,2016-04-08,Friday,2016,4,8,12521,1895,7.95,3.31,0.9,3.74,0.0,46,22,212,1160
1,2016-04-09,Saturday,2016,4,9,12432,1883,8.1,2.59,0.59,4.92,0.0,32,15,248,738
1,2016-04-10,Sunday,2016,4,10,10057,1755,6.97,4.0,0.49,2.48,0.0,44,13,168,737
1,2016-04-11,Monday,2016,4,11,10990,1811,7.26,2.04,0.57,4.65,0.0,26,14,216,855
1,2016-04-12,Tuesday,2016,4,12,224,50,0.13,0.0,0.0,0.13,0.0,0,0,9,32
2,2016-03-25,Friday,2016,3,25,1810,1373,1.14,0.0,0.0,1.13,0.01,0,0,121,1319
2,2016-03-26,Saturday,2016,3,26,815,1264,0.53,0.0,0.0,0.53,0.0,0,0,47,1393
2,2016-03-27,Sunday,2016,3,27,1985,1350,1.29,0.0,0.0,1.28,0.01,0,0,112,1328
2,2016-03-28,Monday,2016,3,28,1905,1342,1.24,0.0,0.0,1.24,0.0,0,0,95,1345
2,2016-03-29,Tuesday,2016,3,29,1552,1300,1.0,0.0,0.0,1.0,0.0,0,0,66,1374
2,2016-03-30,Wednesday,2016,3,30,1675,1313,1.09,0.0,0.0,1.09,0.0,0,0,84,1356
2,2016-03-31,Thursday,2016,3,31,4506,1498,2.94,0.51,0.27,2.15,0.01,7,4,144,1285
2,2016-04-01,Friday,2016,4,1,9218,1541,5.98,0.0,0.0,5.97,0.01,0,0,221,1219
2,2016-04-02,Saturday,2016,4,2,1556,1327,1.02,0.0,0.0,1.01,0.01,0,0,88,1352
2,2016-04-03,Sunday,2016,4,3,2910,1452,1.89,0.0,0.0,1.88,0.01,0,0,157,1283
2,2016-04-04,Monday,2016,4,4,18464,1574,12.0,0.0,0.0,12.0,0.0,0,0,270,1170
2,2016-04-05,Tuesday,2016,4,5,1335,1308,0.87,0.0,0.0,0.87,0.0,0,0,74,1366
2,2016-04-06,Wednesday,2016,4,6,1004,1276,0.65,0.0,0.0,0.65,0.0,0,0,55,1385
2,2016-04-07,Thursday,2016,4,7,1111,1278,0.72,0.0,0.0,0.72,0.0,0,0,54,1386
2,2016-04-08,Friday,2016,4,8,6344,1409,4.1,0.0,0.0,4.1,0.0,0,0,143,1297
2,2016-04-09,Saturday,2016,4,9,3572,1370,2.32,0.0,0.0,2.29,0.03,0,0,122,1318
2,2016-04-10,Sunday,2016,4,10,3910,1555,2.54,0.47,0.25,1.81,0.01,7,7,186,1240
2,2016-04-11,Monday,2016,4,11,10000,1469,6.5,0.0,0.0,6.5,0.0,0,0,172,1268
2,2016-04-12,Tuesday,2016,4,12,6627,706,4.31,0.0,0.0,4.31,0.0,0,0,89,604
