,id,userId,gender,sport,time_start,time_end,time_dur,lat_start,lat_end,lon_start,lon_end,alt_avg,alt_min,alt_q1,alt_q3,alt_max,hr_avg,hr_min,hr_q1,hr_q3,hr_max,spd_avg,spd_min,spd_q1,spd_q3,spd_max
1,1.0,10921915.0,male,bike,1408898746.0,1408906335.0,126.48333333333333,60.173348765820265,60.17335429787636,24.64977040886879,24.6496663056314,43.0712,14.6,32.75,52.6,74.2,152.65,100.0,146.0,160.0,177.0,26.162157599999997,3.8592,19.897199999999998,31.7313,57.4596
2,2.0,10921915.0,male,bike,1408221682.0,1408226122.0,74.0,60.173247596248984,60.173343820497394,24.649855233728886,24.649680806323886,35.7248,17.2,28.8,42.2,67.8,147.71,100.0,140.0,156.0,174.0,27.218368799999997,8.082,21.8106,31.925700000000003,54.7704
3,3.0,10921915.0,male,bike,1407858459.0,1407865208.0,112.48333333333333,60.17326201312244,60.17336569726467,24.64995657093823,24.64971039444208,62.425599999999996,33.4,53.8,72.4,94.0,140.554,99.0,133.0,149.0,168.0,26.050773599999996,0.0,20.599199999999996,31.0365,59.2092
4,4.0,10921915.0,male,bike,1407432042.0,1407436561.0,75.31666666666666,60.173286236822605,60.17330308444798,24.649874344468117,24.649697318673134,32.6104,12.4,24.0,40.8,64.0,147.02,99.0,140.0,155.0,178.0,26.8778376,4.3272,21.4848,31.2651,57.9852
5,5.0,10921915.0,male,bike (transport),1406909434.0,1406910791.0,22.616666666666667,60.17329327762127,60.183755569159985,24.64979832060635,24.817608380690217,22.762,9.8,15.4,29.85,37.8,167.154,110.0,164.0,174.0,183.0,,,,,
6,6.0,10921915.0,male,bike (transport),1406665232.0,1406667252.0,33.666666666666664,60.183585081249475,60.17334599979222,24.81770033016801,24.649652056396008,39.73839999999999,25.2,32.6,46.8,56.4,148.12,106.0,138.0,159.0,179.0,,,,,
7,7.0,10921915.0,male,bike (transport),1406647079.0,1406648504.0,23.75,60.17327919602394,60.18371776677668,24.64981692843139,24.817585833370686,13.364,1.4,7.8,18.6,29.0,166.084,118.0,162.0,174.0,185.0,29.5922808,7.218,23.7726,35.2998,50.9724
8,8.0,10921915.0,male,bike (transport),1406580617.0,1406582610.0,33.21666666666667,60.18366169184446,60.17338581383228,24.817466977983713,24.64969513937831,9.056799999999999,-4.8,1.6,16.2,24.8,144.794,112.0,134.0,155.0,179.0,21.673173600000002,6.804,16.2369,26.0046,49.1436
9,9.0,10921915.0,male,bike,1405281638.0,1405294653.0,216.91666666666666,60.17331792041659,60.17333200201392,24.64967619627714,24.649666137993336,3.7616000000000005,-9.0,-1.8,8.2,25.4,137.804,90.0,129.0,148.0,184.0,,,,,
10,10.0,10921915.0,male,bike,1405100572.0,1405104994.0,73.7,60.17324591986835,60.17344105057418,24.65018338523805,24.649755069985986,22.1912,4.0,14.6,28.8,56.4,145.914,98.0,137.0,156.0,178.0,27.497555999999996,11.682,21.727800000000002,32.487300000000005,57.7404
11,11.0,10921915.0,male,bike,1404774259.0,1404777827.0,59.46666666666667,60.17327668145299,60.17335505224764,24.649821035563946,24.64965465478599,-6.273199999999999,-21.2,-13.05,0.6499999999999999,11.2,148.77,103.0,137.0,161.0,181.0,,,,,
12,12.0,10921915.0,male,bike (transport),1404492369.0,1404498336.0,99.45,60.17332605086267,60.17337206751108,24.649684326723218,24.64966823346913,26.0916,14.6,20.2,31.8,42.6,146.814,99.0,134.75,158.0,183.0,,,,,
13,13.0,10921915.0,male,bike,1404415397.0,1404422167.0,112.83333333333333,60.173228066414595,60.1733522862196,24.64970293454826,24.64967653155327,48.586,21.2,40.6,55.6,79.4,143.224,91.0,133.0,152.25,179.0,25.193404799999996,0.0,19.070999999999998,30.6288,52.3152
14,14.0,10921915.0,male,bike,1404322247.0,1404325649.0,56.7,60.17336611635983,60.17336460761726,24.649790609255433,24.64970301836729,25.903599999999997,10.4,21.2,31.2,42.2,143.854,98.0,132.0,153.0,178.0,,,,,
15,15.0,10921915.0,male,bike,1403535990.0,1403540424.0,73.9,60.173290092498064,60.17335304059088,24.64966152794659,24.64969027787447,84.682,61.8,75.6,93.0,119.0,155.236,99.0,148.0,164.0,176.0,27.228132,0.0,21.2634,32.2101,58.446
16,16.0,10921915.0,male,bike,1403464723.0,1403471770.0,117.45,60.17328456044197,60.17332789488137,24.64972003363073,24.64961056597531,28.9336,11.4,21.75,37.0,51.8,142.762,102.0,136.0,150.0,168.0,24.542733599999995,0.0,19.3644,29.022299999999998,44.7732
17,17.0,10921915.0,male,bike,1403285161.0,1403289817.0,77.6,60.17324265092611,60.17336024902761,24.649846516549587,24.649691451340914,131.02439999999999,112.2,123.4,137.85000000000002,165.0,137.846,93.0,130.0,146.0,167.0,,,,,
18,18.0,10921915.0,male,bike,1403115202.0,1403122278.0,117.93333333333334,60.17329721711576,60.17336502671242,24.649710645899177,24.649666473269463,32.3132,6.8,22.8,41.05,61.0,146.102,92.0,139.0,155.0,180.0,26.581319999999998,0.0,21.403799999999997,31.716,50.9508
19,19.0,10921915.0,male,bike,1403029092.0,1403032523.0,57.18333333333333,60.17330702394247,60.17335329204798,24.649715842679143,24.649664126336575,37.833200000000005,21.8,30.15,44.8,53.8,131.688,86.0,121.0,140.0,170.0,,,,,
20,20.0,10921915.0,male,bike,1402943301.0,1402946992.0,61.516666666666666,60.17330593429506,60.17335086129606,24.649783736094832,24.649634202942252,22.2664,9.2,17.95,25.2,40.0,140.456,98.0,130.0,150.0,175.0,,,,,
21,21.0,10921915.0,male,bike,1402768350.0,1402774535.0,103.08333333333333,60.173167046159506,60.173330744728446,24.64982363395393,24.649631017819047,54.495599999999996,26.8,47.4,61.6,81.8,143.856,94.0,137.0,153.25,174.0,,,,,
22,22.0,10921915.0,male,bike,1401902091.0,1401906138.0,67.45,60.17335094511509,60.173341473564506,24.649986661970615,24.64958919212222,2.0624000000000002,-17.0,-6.4,9.6,36.0,155.79,101.0,151.0,162.0,172.0,29.745864,0.0,24.4152,34.7256,58.5072
23,23.0,10921915.0,male,bike,1401633364.0,1401643713.0,172.48333333333332,60.17334298230708,60.173324290663004,24.649767307564616,24.649683823809028,43.184400000000004,9.6,29.0,58.05,87.0,149.152,103.0,140.0,159.25,175.0,,,,,
24,24.0,10921915.0,male,bike,1400628469.0,1400631793.0,55.4,60.17425292171538,60.17336058430374,24.650152288377285,24.64966395869851,-48.6952,-82.0,-64.25,-40.2,0.2,133.262,90.0,123.0,144.25,163.0,27.02646,6.9228,22.5918,31.076099999999997,43.236
25,25.0,10921915.0,male,bike,1398700071.0,1398706194.0,102.05,60.173179283738136,60.173352705314755,24.650004683062434,24.64968591928482,25.5556,4.2,16.6,32.449999999999996,50.0,134.466,102.0,125.75,143.0,162.0,,,,,
26,26.0,10921915.0,male,bike,1398017417.0,1398021730.0,71.88333333333334,60.173255559057,60.17334801144898,24.64993368834257,24.6496541518718,14.1432,-6.8,6.0,21.6,50.0,154.416,102.0,151.0,162.0,172.0,27.9265536,8.7408,22.986,31.9779,57.6684
27,27.0,10921915.0,male,bike (transport),1398015123.0,1398017210.0,34.78333333333333,60.17325120046735,60.173367876559496,24.64992782101035,24.649668401107192,22.3176,9.4,15.8,28.0,36.6,104.736,81.0,94.0,115.0,128.0,15.8807592,0.0,10.450800000000001,20.7387,34.002
28,28.0,10921915.0,male,bike,1397838395.0,1397850345.0,199.16666666666666,60.17326754517853,60.17331909388304,24.64979002252221,24.649597657844424,25.613599999999998,-5.4,11.4,41.1,71.8,133.15,92.0,126.0,144.0,169.0,,,,,
29,29.0,10921915.0,male,bike,1397427440.0,1397429801.0,39.35,60.173258827999234,60.17342076636851,24.649814749136567,24.64965465478599,17.5584,6.8,14.8,20.4,27.2,144.556,101.0,138.0,153.0,172.0,,,,,
30,30.0,4969375.0,male,run,1397079203.0,1397083091.0,64.8,52.2226809,52.2240276,6.8854929,6.8859124,-31.706,-360.8,27.349999999999998,36.0,41.2,122.104,65.0,90.0,153.0,227.0,,,,,
31,31.0,4969375.0,male,run,1393908533.0,1393912737.0,70.06666666666666,52.2111711,52.2111339,6.9144073,6.9144094,41.6712,23.2,36.2,49.0,57.8,146.994,60.0,130.0,158.0,216.0,,,,,
32,32.0,4969375.0,male,run,1393687929.0,1393698055.0,168.76666666666668,52.2110297,52.2111086,6.9141348,6.9144402,41.382400000000004,22.8,35.4,44.4,64.6,127.922,77.0,126.0,130.0,141.0,,,,,
33,33.0,4969375.0,male,run,1392480163.0,1392486666.0,108.38333333333334,52.1936673,52.1936303,6.8678543,6.8679282,34.125600000000006,24.6,31.4,36.4,44.8,134.918,75.0,129.0,139.0,163.0,,,,,
34,34.0,4969375.0,male,run,1392180426.0,1392185544.0,85.3,52.2112195,52.2110779,6.9143328,6.9144234,45.0972,27.0,39.550000000000004,50.849999999999994,67.0,132.414,58.0,127.0,131.0,202.0,,,,,
