id,timestamp,dayweek,year,month,day,hour,min,sec,steps,calories,intensity_total,intensity_avg
1,2016-03-12 00:00:00,Saturday,2016,3,12,0,0,0,0,48,0,0.0
1,2016-03-12 01:00:00,Saturday,2016,3,12,1,0,0,0,48,0,0.0
1,2016-03-12 02:00:00,Saturday,2016,3,12,2,0,0,0,48,0,0.0
1,2016-03-12 03:00:00,Saturday,2016,3,12,3,0,0,0,48,0,0.0
1,2016-03-12 04:00:00,Saturday,2016,3,12,4,0,0,0,48,0,0.0
1,2016-03-12 05:00:00,Saturday,2016,3,12,5,0,0,0,48,0,0.0
1,2016-03-12 06:00:00,Saturday,2016,3,12,6,0,0,0,48,0,0.0
1,2016-03-12 07:00:00,Saturday,2016,3,12,7,0,0,0,48,0,0.0
1,2016-03-12 08:00:00,Saturday,2016,3,12,8,0,0,0,48,0,0.0
1,2016-03-12 09:00:00,Saturday,2016,3,12,9,0,0,8,49,1,0.017
1,2016-03-12 10:00:00,Saturday,2016,3,12,10,0,0,551,89,26,0.433
1,2016-03-12 11:00:00,Saturday,2016,3,12,11,0,0,1764,134,49,0.817
1,2016-03-12 12:00:00,Saturday,2016,3,12,12,0,0,1259,130,47,0.783
1,2016-03-12 13:00:00,Saturday,2016,3,12,13,0,0,253,81,20,0.333
1,2016-03-12 14:00:00,Saturday,2016,3,12,14,0,0,4470,254,121,2.017
1,2016-03-12 15:00:00,Saturday,2016,3,12,15,0,0,4919,271,129,2.15
1,2016-03-12 16:00:00,Saturday,2016,3,12,16,0,0,1905,141,42,0.7
1,2016-03-12 17:00:00,Saturday,2016,3,12,17,0,0,1038,104,20,0.333
1,2016-03-12 18:00:00,Saturday,2016,3,12,18,0,0,14,54,2,0.033
1,2016-03-12 19:00:00,Saturday,2016,3,12,19,0,0,606,97,30,0.5
1,2016-03-12 20:00:00,Saturday,2016,3,12,20,0,0,56,58,4,0.067
1,2016-03-12 21:00:00,Saturday,2016,3,12,21,0,0,782,100,29,0.483
1,2016-03-12 22:00:00,Saturday,2016,3,12,22,0,0,1132,123,41,0.683
1,2016-03-12 23:00:00,Saturday,2016,3,12,23,0,0,918,111,35,0.583
1,2016-03-13 00:00:00,Sunday,2016,3,13,0,0,0,39,55,3,0.05
1,2016-03-13 01:00:00,Sunday,2016,3,13,1,0,0,0,48,0,0.0
1,2016-03-13 02:00:00,Sunday,2016,3,13,2,0,0,27,50,1,0.017
1,2016-03-13 03:00:00,Sunday,2016,3,13,3,0,0,0,48,0,0.0
1,2016-03-13 04:00:00,Sunday,2016,3,13,4,0,0,0,48,0,0.0
1,2016-03-13 05:00:00,Sunday,2016,3,13,5,0,0,0,48,0,0.0
1,2016-03-13 06:00:00,Sunday,2016,3,13,6,0,0,0,48,0,0.0
1,2016-03-13 07:00:00,Sunday,2016,3,13,7,0,0,0,49,0,0.0
1,2016-03-13 08:00:00,Sunday,2016,3,13,8,0,0,6,49,1,0.017
1,2016-03-13 09:00:00,Sunday,2016,3,13,9,0,0,73,56,5,0.083
1,2016-03-13 10:00:00,Sunday,2016,3,13,10,0,0,2850,189,85,1.417
1,2016-03-13 11:00:00,Sunday,2016,3,13,11,0,0,4854,270,130,2.167
1,2016-03-13 12:00:00,Sunday,2016,3,13,12,0,0,24,52,3,0.05
1,2016-03-13 13:00:00,Sunday,2016,3,13,13,0,0,118,66,9,0.15
1,2016-03-13 14:00:00,Sunday,2016,3,13,14,0,0,19,57,3,0.05
1,2016-03-13 15:00:00,Sunday,2016,3,13,15,0,0,510,89,23,0.383
1,2016-03-13 16:00:00,Sunday,2016,3,13,16,0,0,510,91,25,0.417
1,2016-03-13 17:00:00,Sunday,2016,3,13,17,0,0,96,61,5,0.083
1,2016-03-13 18:00:00,Sunday,2016,3,13,18,0,0,4100,237,110,1.833
1,2016-03-13 19:00:00,Sunday,2016,3,13,19,0,0,1756,146,57,0.95
1,2016-03-13 20:00:00,Sunday,2016,3,13,20,0,0,477,87,25,0.417
1,2016-03-13 21:00:00,Sunday,2016,3,13,21,0,0,147,66,9,0.15
